docID,namaBarang,desc,harga
20,temper glass samsung galaxy e5 e7 ,jgs temper glass samsung galaxy e5 e7 ,Rp  22500
21,samsung galaxy a5 2016 ,prosesor cpu speed 1 6ghz cpu type octa core display ukur main display 5 2 132 2mm resolusi main display 1920 x 1080 fhd teknolog main display super amoled dalam warna main display 16m dukung s pen kamera resolusi rekam video fhd 1920 x 1080 30fps main camera resolution cmos 13 0 mp main camera f number f 1 9 front camera resolution cmos 5 0 mp front camera f number f 1 9 main camera flash yes main camera auto focus yes ori ram size gb 2 gb rom size gb 16 gb available memory gb 10 7 gb dukung ori eksternal microsd up to 128gb jaring multi sim dual sim sim size nano sim 4ff type of sim slot sim 1 sim 2 infra 2g gsm 3g wcdma 4g lte fdd 4g lte tdd 2g gsm gsm850 gsm900 dcs1800 pcs1900 3g umts b1 2100 b2 1900 b5 850 b8 900 4g fdd lte b1 2100 b3 1800 b5 850 b7 2600 b8 900 b20 800 4g tdd lte b40 2300 konektivitas ant ya versi usb usb 2 0 teknolog lokasi gps glonass earjack 3 5mm stereo mhl wi fi 802 11 a b g n 2 4 5ghz ht40 wi fi direct ya bluetooth version bluetooth v4 1 nfc yes profil bluetooth a2dp avrcp hfp hid hogp hsp map opp pan pbap pc sync smart switch pc version sistem operasi android informasi umum form factor touch bar sensors accelerometer fingerprint sensor geomagnetic sensor hall sensor proximity sensor rgb light sensor spesifikasi fisik mension hxwxd mm 144 8 x 71 0 x 7 3 weight g 153 batera internet usage time 3g hours up to 14 internet usage time lte hours up to 14 internet usage time wi fi hours up to 16 video playback time hours up to 14 standard battery capacity mah 2900 removable no audio playback time hours up to 75 talk time 3g wcdma hours up to 16 audio video video playing format mp4 m4v 3gp 3g2 wmv asf avi flv mkv webm video playing resolution fhd 1920 x 1080 30fps audio playing format mp3 m4a 3ga aac ogg oga wav wma amr awb flac mid midi xmf mxmf imy rtttl rtx ota aplikasi layan gear support gear circle manager support gear fit gear s voice ya mobile tv ,Rp  3700000
22,samsung galaxy grand prime duos ,harga batang unit hp only samsung galaxy grand prime duos second harga murah riah spek nyaman penting keren buru serbu guyss mumpung stok ready color white black gold spesifikasi mensions 144 8 x 72 1 x 8 6 mm 5 70 x 2 84 x 0 34 in weight 156 g 5 50 oz dual sim micro sim dual stand by display type tft capacitive touchscreen 16m colors size 5 0 inches resolution 540 x 960 pixels 220 ppi pixel density os android os v4 4 4 kitkat upgradable to v5 0 2 v5 1 1 lollipop chipset qualcomm msm8916 snapdragon 410 cpu quad core 1 2 ghz cortex a53 quad core 1 3 ghz cortex a7 value edition gpu adreno 306 memory card slot microsd up to 64 gb dedicated slot internal 8 gb 1 gb ram camera primary 8 mp f 2 4 autofocus led flash check quality features geo tagging touch focus face smile detection panorama video 1080p 30fps check quality secondary 5 mp f 2 2 1080p battery removable 2600 mah garansi berla 7 hari terima barang syarat amp tentu garansi berla untuk mesin amp batera garansi berla segel lepas garansi hangus unit hp celup kena air garansi hangus unit hp jatuh gores ongkir claim garansi tanggung beli ,Rp  980000
23,samsung galaxy j3 pro 2017 ram 2 16gb new bnib 100 original ,samsung galaxy j3 pro 2017 ram 2 16gb new bnib 100 original dual sim micro sim dual stand by warna gold body mensions 142 2 x 71 3 x 8 mm 5 60 x 2 81 x 0 31 in weight 139 g 4 90 oz sim dual sim micro sim dual stand by display type super amoled capacitive touchscreen 16m colors size 5 0 inches 68 0 screen to body ratio resolution 720 x 1280 pixels 294 ppi pixel density multitouch yes platform os android os v5 1 lollipop cpu quad core 1 2 ghz memory card slot microsd up to 256 gb dedicated slot internal 16 gb 2 gb ram camera primary 8 mp f 2 2 autofocus led flash features geo tagging touch focus face detection hdr video 1080p 30fps secondary 5 mp f 2 2 li ion 2600 mah battery jelas barang yg produk original 100 siap balikin uang abal abal rekon kw new segel bnib plasti garansi inter 1 tahun garansi sonal 1 minggu garansi langsung ganti unit baru masa syarat rusak ulah guna rusak dadak karna human error masuk air yg akibat rusak produk tsb garansi tuker baru unit kondisi baru no lecet ,Rp  1495000
24,samsung galaxy s7 edge 32gb duos ,spesifikasi samsung galaxy s7 edge bodi mensi 150 9 x 72 6 x 7 7 mm berat 157 g warna black white gold silver material metal kaca tipe layar tipe super amoled capacitive touchscreen 16m colors resolusi 5 5 inches 1440 x 2560 pixels 534 ppi pixel density lindung corning gorilla glass 5 fitur corning gorilla glass 5 back panel curved edge screen ori internal 32 gb eksternal microsd up to 64 gb uses sim 2 slot ram 4 gb dapur pacu os android os v6 0 marshmallow chipset exynos 8890 octa quad core 2 3 ghz quad core 1 6 ghz gpu mali t880 mp12 konektivitas sim card nano sim internet hspa 42 2 5 76 mbps lte cat9 450 50 mbps gps a gps glonass bds bluetooth v4 2 le wifi wi fi 802 11 a b g n ac dual band wifi direct hotspot usb microusb v2 0 usb host kamera belakang resolusi 12 gapixel fitur aperture f 1 7 phase detection autofocus ois led flash video 2160p 30fps 1080p 60fps kamera resolusi 5 gapixel fitur aperture f 1 7 dual video call auto hdr video 1080p 30fps batera kapasitas non removable li ion 3600 mah fitur fast battery charging 83 in 30 min quick charge 3 0 wireless charging fitur sensor fingerprint accelerometer gyro proximity compass barometer heart rate spo2 samsung pay visa mastercard certified ip68 certified dust proof and water resistant over 1 5 meter and 30 minutes fingerprint sensor always on display ,Rp  6900000
25,fast charge wireless charger stand samsung galaxy note 5 s6 s7 edge oem putih ,photo by redangus designed by samsung original segel sein garansi 30 hari barang rusak human error barang retur batas waktu untuk retur 30hari ongkos tanggung beli barang terima sesua foto embali uang fast charge wireless charger stand samsung galaxy note 5 s6 s7 edge oem ngecas guna kabel cukup taruh hp atas wireless charger otomatis ngecas simple praktis sedia warna putih hitam compatibility galaxy s7 galaxy s7 edge galaxy s6 edge galaxy s6 galaxy s6 edge galaxy note5 sedia warna hitam putih features fast charging for ultimate enjoyment ultimate viewing experience preferred viewing fast charging for ultimate enjoyment thanks to its faster charging capabilities youll have all the power you need to stay focused on what youre doing at all times ultimate viewing experience provides an elevated base to enable landscape and portrait modes and view incoming notifications while charging preferred viewing watch whatever you choose however you like built in dual standing mode provides vertical and horizontal viewing options for your favourite multimedia including movies and videos redangus jual barang kualitas baik original puas langgan komitmen ,Rp  245000
26,samsung galaxy j7 prime ,garansi resmi sein 12 bulan sedia warna black ,Rp  3260000
27,garansi 100 original wall jhead charger samsung galaxy s4 s5 s6 note 345 ,erima produk cacat sesua deskripsi mohon rjasama untuk langsung inbox jamin produk ima jual benar 100 original fast charging adapters samsung original 100 nya kualitas charger samsung temu pasar mana secara kasat mata untuk beda 100 original fake sulit asti untuk beri pilih benar benar 100 original charger samsung no oem jual idevice accs benar benar 100 original garansi akai 3 bulan rusak fungsi human error deskripsi beda wall charger original fake bawa samsung 1 tuliis samsung tera sisi luar original lihat lebihy tipis tampak sablon fake lihat tebal lihat gambar gt head fake tulis a tanda nya 2 lubang port usb kabel head original lihat rapi sisi dalam bengkok presisi beda fake 3 bagi kaki hubung arus listrik charger original dapat leku garis bawah fake dapat untuk produk original awet guna tahun beda durability ,Rp  125000
28,samsung galaxy j2 prime ,barang ready siap kirim jne gojek samsung galaxy j2 prime garansi resmi samsung 1 tahun ready hitam silver etwork technology gsm hspa lte launch announced 2016 november status available released 2016 november body mensions 144 8 x 72 1 x 8 9 mm 5 70 x 2 84 x 0 35 in weight 160 g 5 64 oz sim single sim micro sim or dual sim micro sim dual stand by display type capacitive touchscreen 16m colors size 5 0 inches 66 0 screen to body ratio resolution 540 x 960 pixels 220 ppi pixel density multitouch yes platform os android os v6 0 marshmallow chipset diatek mt6737t cpu quad core 1 4 ghz cortex a53 gpu mali t720mp2 memory card slot microsd up to 256 gb dedicated slot internal 8 gb 1 5 gb ram camera primary 8 mp autofocus led flash features geo tagging touch focus face detection video 720p 30fps secondary 5 mp led flash sound alert types vibration mp3 wav ringtones loudspeaker yes 3 5mm jack yes comms wlan wi fi 802 11 b g n wi fi direct hotspot bluetooth v4 2 a2dp le gps yes with a gps radio fm radio rds recording usb microusb v2 0 usb on the go features sensors accelerometer proximity ssaging sms threaded view mms email push mail im browser html java no mp4 h 264 player mp3 wav eaac flac player photo video editor document viewer battery removable li ion 2600 mah battery misc colors black gold price group 3 10 tests formance basemark os ii 360 basemark x 1683 loudspeaker voice 67db noise 64db ring 75db battery life endurance rating 67h ,Rp  1609000
29,samsung galaxy j3110 pro 2 16 silver ,network technology gsm cdma hspa evdo lte 2g bands gsm 850 900 1800 1900 sim 1 amp sim 2 dual sim model only cdma 800 j3110 3g bands hsdpa 850 900 1900 2100 j3110 cdma2000 1xev do j3119 4g bands lte band 1 2100 3 1800 5 850 7 2600 8 900 20 800 lte band 1 2100 3 1800 7 2600 41 2500 j3110 speed hspa 42 2 5 76 mbps lte cat4 150 50 mbps gprs yes edge yes launch announced 2016 june status available released 2016 june body mensions 142 2 x 71 3 x 8 mm 5 60 x 2 81 x 0 31 in weight 139 g 4 90 oz sim single sim micro sim or dual sim micro sim dual stand by display type super amoled capacitive touchscreen 16m colors size 5 0 inches 68 0 screen to body ratio resolution 720 x 1280 pixels 294 ppi pixel density multitouch yes platform os android os v5 1 lollipop chipset qualcomm msm8916 snapdragon 410 cpu quad core 1 2 ghz cortex a53 gpu adreno 306 memory card slot microsd up to 256 gb dedicated slot internal 16 gb 2 gb ram camera primary 8 mp f 2 2 autofocus led flash features geo tagging touch focus face detection hdr video 1080p 30fps secondary 5 mp f 2 2 sound alert types vibration mp3 wav ringtones loudspeaker yes 3 5mm jack yes comms wlan wi fi 802 11 b g n wi fi direct hotspot bluetooth v4 1 a2dp gps yes with a gps glonass bds region dependent nfc yes radio fm radio rds recording usb microusb v2 0 usb on the go features sensors accelerometer proximity ssaging sms threaded view mms email push mail im browser html5 java no mp4 h 264 player mp3 wav eaac flac player photo video editor document viewer battery removable li ion 2600 mah battery ,Rp  1410000
