docID,namaBarang,desc,harga
30,lg 32lj500d flat hd ready gital led tv 32 quot w dolby audio hitam free shipping jabodetabek ,garansi resmi lg indonesia 1 tahun gratis irim by logistik rajakirim estimasi 2 5 hari kerja barang ready stock 100 baru khusus jabodetabek nikmat alam onton tv sesungguh lg 32lj500d flat hd led tv 32 inch 32 dvb t2 bracket desain modern kokoh tv model baru hadir bagai fitur fungsional arik canggih nikmat bagai acara film teman luarga rasa kualitas gambar tajam jernih desain mewah nan eleg lg hadir televisi desain mewah nan eleg balut warna hitam keren awan wahkan ruang luarga design hitam modern padu mulus dekorasi rumah konektivitas untuk dukung alam multimedia senang sedia slot usb 2.0 utar format divx 1080p hd mampu usb utar film favorit langsung flash disk harddisk eksternal.n spesifikasi garansi resmi lg 1 tahun hd ready resolusi 1366 x 768 usb amp hdmi virtual surround dvb t2 led direct dolby audio 2.0 ch speaker khusus jabodetabek ,Rp. 2549000
31,led lg 43uh610t ultra hd 4k tv hari senin harga naik ,spesifikasi fitur smart tv operating system webos 3.0 web browser yes compatible processor quad core video triple xd engine yes resolution upscaler full hd real cinema 24p yes active noise reduction yes picture modes 8 audio audio decoder dts dolby gital aac pcm speakers stereo audio output 20w total surround system ultra surround sound modes 6 resolusi layar 3840 x 2160 ukur layar 43 inch garansi resmi lg 1 tahun ,Rp. 5300000
32,lg led tv 32 quot 32lh510d free bracket free shipping jabodetabek ,garansi resmi lg indonesia 1 tahun gratis irim by logistik rajakirim estimasi 2 5 hari kerja barang ready stock 100 baru khusus jabodetabek nikmat alam onton tv sesungguh lg led tv 32 32lh510d hitam desain modern kokoh tv model baru hadir bagai fitur fungsional arik canggih nikmat bagai acara film teman luarga rasa kualitas gambar tajam jernih desain mewah nan eleg lg hadir televisi desain mewah nan eleg balut warna hitam keren awan wahkan ruang luarga design hitam modern padu mulus dekorasi rumah smart energy saving perlu khawatir tagih listrik bengkak tv sembah lg lengkap fitur smart energy saving backlight control untuk atur cerah screen off function utar suara ada layar sala fungsi standby mode zero kenan tv untuk hibernasi guna tenaga listrik konektivitas untuk dukung alam multimedia senang sedia slot usb 2.0 utar format divx 1080p hd mampu usb utar film favorit langsung flash disk harddisk eksternal.n spesifikasi garansi resmi lg 1 tahun hd ready resolusi 1366 x 768 usb 1 amp hdmi 1 virtual surround dvb t2 led direct ,Rp. 2589000
33,led tv 32 lg 32lj500d usb movie tv gital ,screen size 32 hd ready resolusi 1366 x 768 konektivitas usb movie hdmi virtual surround dvb t2 dolby audio 2.0 ch speaker ,Rp. 2490000
34,mainboard tv led lg 32lb530ta ,mainboard tv led lg 32ln5100 32lb530 bekas garansi 1 bulan ,Rp. 475900
35,led tv lg 24 inch 24mt full hd usb movie ,layan irim jakarta tangerang bekasi cikarang cibitung konfirmasi untuk ongkir layan irim luar kota bayar rumah transaksi bukalapak ongkir tetap lebih ongkir kembali irim ongkir jakbar 30rb jakut 50rb jakpus 50rb jaksel jaktim 50rb tangerang 60rb bekasi 60rb detail layar 24inch divx hd usb hdmi garansi resmi lg 1 tahun lg sonal tv saji bagai hibur multimedia siar hd dvd internet game foto full hd 1920 1080 resolusi hd bawa besar kualitas gambar akurasi warna luarbiasa kontras tajam stereo speaker 10wx2 nikmat bioskop game suara stereo realistik speaker stereo yg tanam perlu e xtra speaker ,Rp. 1610000
36,power suply tv led lg 42ln5100 5400 549 ,power suply tv led lg 42inch seri ln ,Rp. 547900
37,lg led tv 24 inch 24mt48 murah amp garansi resmi ,lg led tv 24 inch 24mt48 garansi resmi lg elektronik indonesia garansi toko rizqon elektronik 21.5 inch ips full hd display 1920x1080 250nits brightness 178 178 viewing angle gtg 8.5ms 24inch 5ms 22inch response time 10wx2 stereo speakers ,Rp. 1650000
38,tv lg led 32 inci ,tv led lg 32 32lb530a kondisi bekas mulus ga minus gambar jernih suara gelegar lengkap remote ,Rp. 1750000
39,lg 55 led tv 4k ultra hd 3d webos 2.0 smart tv 55uf850t garansi resmi lg 1 tahun ,ultra hd 8.3m pixels ultra liminance ultra slim ips 4k 4k upscaler frontal speaker webos 2.0 magic remote 4k 3d ultra hd time machine wi fi built in triple xd side connections hdmi input yes 3 usb input yes 3 rear connections antenna input yes 1 composite component input yes shared audio optical output yes 1 headphone 3.5mm output yes 1 lan port yes 1 ,Rp. 15500000
