7,laptop asus x555qg bx101d amd quadcore a10 9600p 2 4ghz 4gb 1tb ,laptop asus x555qg bx101d amd quadcore a10 9600p 2 4ghz 4gb 1tb vga 2gb 15 6 inch spesifikasi processor amd quadcore a10 9600p 2 4ghz ram 4gb hdd 1tb 1000gb layar 15 6 hd 1366 768 vga amd dualgraphics r5 r6 m435dx with 2gb dedicated dvd wifi webcam hdmi port vga color black kondisi bekas baru 3 bulan garansi resmi 2 tahun lengkap driver dus kartu garansi kabel power charger ,Rp 5750000

8,asus a456ur core i5 new murah ,asus a456ur intel core i5 7200u 2 5ghz hdd 1tb sata memory 4gb ddr4 intel hd graphics nvidia geforce 930mx 2gb dvdrw multi camera wifi display 14 0 led bluetooth dos spek lengkap googling aja gan pilih warna a456ur ga091d dark blue a456ur ga090d dark brown a456ur ga093d red a456ur ga092d gold a456ur ga094d white kondisi lengkap 100 barang baru segel fullset backpak tas gendong asus ori garansi resmi asus indonesia 2 tahun nb harga masuk packing kayu asuransi lokasi bandung trade mall lt2 blok bb 52 jln ibrahim adji 47 cicadas bandung cod bandung kota thanks bukalapak ,Rp 6900000

9,asus a455la core i3 5005u 4gb 500gb new resmi merah ,asus a455la wx669d merah intel core i3 5005u 2 0ghz hdd 500gb sata memory 4gb ddr3 intel hd graphics dvdrw multi camera wifi display 14 0 led bluetooth dos spek lengkap googling aja gan pilih warna a455la wx669d merah a455la wx668d biru a455la wx670d putih kondisi lengkap 100 barang baru segel fullset backpak tas gendong ori asus garansi resmi asus indonesia 2 tahun nb harga masuk packing kayu asuransi lokasi bandung trade mall lt2 blok bb 52 jln ibrahim adji 47 cicadas bandung cod bandung kota thanks bukalapak ,Rp 4750000

10,asus x200m ,spesifikasi amp amp amp amp gt processor intel celeron n2820 amp amp amp amp gt memory 2gb amp amp amp amp gt hard drive 500 gb amp amp amp amp gt intel hd graphics amp amp amp amp gt screen size 11 6 high definition led amp amp amp amp gt hf web camera amp amp amp amp gt 802 11 b g n wi fi amp amp amp amp gt card reader multi in 1 amp amp amp amp gt windows fisik sesua gambar iklan mesin normal cocok bangat nich agan ajar mahasiswa kerja kantor harga dita gan super murah riah agan laptop second murah riah kualitas ok punya minat langsung aja gan masukin kranjang bukalapak tunggu gan order barang batas habis posting langsung ebut garansi sonal mesin ane kasih 1 minggu lengkap unit carger ,Rp 1890000

11,asus x200ca white ,spesifikasi amp amp amp amp gt processor intel celeron cpu 1007u amp amp amp amp gt memory 2gb ddr3 1333mhz onboard amp amp amp amp gt hard drive 500 gb amp amp amp amp gt intel hd graphics amp amp amp amp gt screen size 11 6 high definition led amp amp amp amp gt hf web camera amp amp amp amp gt 802 11 b g n wi fi amp amp amp amp gt card reader multi in 1 amp amp amp amp gt windows cocok agan ajar mahasiswa kerja kantor harga dita gan super murah riah agan laptop second murah riah kualitas ok punya mulus minat langsung aja gan masukin kranjang bukalapak tunggu gan order barang batas habis posting langsung ebut garansi sonal mesin ane kasih 1 minggu lengkap unit carger dus ,Rp 1890000

12,asus e202sa n3060 ,intel dual core n3060 ram 2gb ddr3l hdd 500gb intel hd graphics layar 11 6 1366x768 dos usb 3 1 type c usb 3 0 bt 4 0 wifi garansi 1 tahun fd111d black fd112d white fd113d blue fd114d red ,Rp 3149000

